partner_id,gender,age_group,city_tier,trips_weekly,hours_online_per_week,avg_rating,on_time_pct,cancel_rate,safety_incidents,weekly_earnings,earnings_volatility,cashless_share,nova_score
1,F,18-25,A,68,62.14390233201957,4.7578216022623785,0.9251161994908353,0.025742082845175002,0,586.3959724159945,0.1719836808661248,0.7625734215012385,600
2,M,36-45,B,52,52.454849255123726,4.573411093366589,0.9500976079574076,0.03859640174896663,0,559.7265657849769,0.17710059969007363,0.6477668773518702,578
3,F,46-60,B,61,45.64050237497776,4.573327126561215,0.9522776196385163,0.0760325276827097,0,545.4898615570654,0.2303325614907787,0.8838136389800232,591
4,M,36-45,A,71,55.5913293515296,4.738006813485588,0.9626354865001695,0.08762213776367808,0,593.5219001710377,0.1801520915871124,0.7931669661688279,644
5,M,26-35,A,70,47.389039411148666,4.91254583977714,0.9573334285801642,0.04942593342675649,0,600.3876319199699,0.3183651079066725,0.4749902988753636,656
6,F,18-25,B,44,37.39929945372798,4.809662053160969,0.9553194987071185,0.05707245408731391,0,361.3643165410051,0.07469097148982982,0.8878535536467916,563
7,F,46-60,B,65,30.553942229511385,4.8283680579199135,0.9623324334992824,0.10931529008018892,0,490.3366889925546,0.2488753567745473,0.8535368882450183,576
8,F,46-60,B,70,36.306343963069196,4.734512423003149,0.8747825667369935,0.08557630000260921,0,606.1439992440794,0.17086381079185142,0.8042241386903618,647
9,M,26-35,B,57,41.59926125452883,4.698453960227423,0.959813402175394,0.10323960042188521,0,409.01559554668086,0.09030300050578581,0.3342430325892196,576
10,M,26-35,B,44,43.750184053496035,4.862271095774135,0.995,0.06475649824700325,0,396.0015333106597,0.3597670994303249,0.7195872348237914,569
11,M,26-35,A,67,20.648044019132413,4.668323425651879,0.9228686624022299,0.05089938238052469,0,492.63193557277907,0.37081602980126394,0.9050799175085324,614
12,F,26-35,B,52,39.804396650760054,4.871965123167155,0.9901739973991239,0.10246671813989475,0,487.4373507370145,0.16337040500577632,0.7731299148260771,630
13,M,18-25,A,75,42.28581769549445,4.9413920408401095,0.8831352350044205,0.054618224192323046,0,704.2149524855405,0.21557802784338048,0.8087211891272321,664
14,F,18-25,B,57,47.475374448798405,4.622591982553634,0.9167118690194782,0.05317428911823888,0,531.9085995221354,0.14230509899944457,0.8453717757677532,578
15,M,18-25,A,57,58.268008825063504,4.644633175655019,0.8861420924095071,0.04410410690844356,0,360.35818071192415,0.15517641259484147,0.7995031612338144,542
16,M,36-45,A,65,43.856535354452696,4.670145674037809,0.99196106262119,0.052161145810812555,0,618.1331250119754,0.08940006508387822,0.9485074138675376,663
17,M,18-25,B,60,32.90437123752282,4.529955606136988,0.995,0.0962525065437603,0,454.4223453601331,0.07757902471628418,0.7426459494261618,605
18,M,18-25,B,50,23.819206163985278,4.675589590254922,0.909040193995622,0.02971005429816143,0,513.2974999604638,0.3275319977538207,0.7315057706891072,581
19,F,26-35,B,77,48.87010958112382,4.952017460582926,0.9887530761330926,0.08037157405031778,0,516.6924850965238,0.1768985692930975,0.8449379164014817,610
20,M,18-25,B,61,33.30912640522587,4.593563668649698,0.995,0.04825343723761555,0,421.0611927197075,0.18404679415131397,0.6641978296184347,609
21,F,18-25,C,53,50.66836977161347,4.945979416298092,0.9141540571019166,0.0671909881563917,0,420.5249147104052,0.11515854245154503,0.5063860987039335,598
22,M,26-35,C,41,55.97420152162569,4.6773833313070385,0.9150875805898493,0.07511263258147932,0,362.6750414681352,0.19519761618184456,0.6605321910308144,546
23,F,26-35,C,63,26.55925234020826,5.0,0.9584807684813492,0.06187765385088066,0,474.7557705988752,0.05969646625206912,0.7426524334381006,581
24,F,26-35,B,55,47.538925587589624,4.645728040202686,0.8748731009239858,0.06388617110253594,0,405.68957100679984,0.11810091500175636,0.849550754603394,570
25,F,46-60,B,55,54.926224103393444,4.726402707526677,0.922504879760728,0.059169321984764094,0,385.3945623699356,0.08401802304128986,0.8503259330334361,604
26,M,18-25,B,73,52.19039325280282,4.61867254022114,0.995,0.04635724478175792,0,582.8269570355287,0.2834307294978018,0.7103892555754722,646
27,M,46-60,B,49,21.036205630895445,4.642444883962126,0.8883993239874851,0.11509320640896419,0,562.0513576161466,0.047848130901760266,0.6960081922380675,618
28,M,46-60,A,63,33.46347955206296,4.951926875028758,0.9644913120353258,0.06925147948209784,0,607.9049123979012,0.08566276022230615,0.6971037677707501,631
29,M,36-45,B,46,29.198194942495768,4.815580502770847,0.9377902223068507,0.07322155120325158,0,406.0543090528021,0.02,0.7549826475572529,610
30,M,26-35,A,80,47.234727551470506,4.912322666876618,0.9238117045648524,0.04066041832943742,0,533.0940555235995,0.10879901344016946,0.5502426391245574,647
31,F,26-35,A,62,46.13326623485497,4.553461604851495,0.9322827546454696,0.056761685366079534,0,498.3884151798918,0.14323832152694632,0.7831862931052034,575
32,F,26-35,C,43,15.021081220593747,4.841424267973687,0.995,0.05926486374915898,0,480.2835690287865,0.25822243016472873,1.0,580
33,M,36-45,A,69,38.99168378672158,4.607883502491929,0.953079857328965,0.08846032515743503,0,501.6708470579713,0.1622401728424196,0.5694591222655743,623
34,M,18-25,B,63,50.007198303411066,4.550602223045072,0.9572909311630632,0.045892027405872206,0,573.7434433185016,0.14715304729344295,0.7419569850674019,624
35,M,46-60,B,57,43.47975991224122,4.784614920828034,0.995,0.00411262385055358,0,539.5367683838848,0.20399264989159846,0.772897010664721,613
36,M,26-35,A,76,43.46266919499861,4.790680750011712,0.9151294781500917,0.06374924112394659,0,692.4067934303689,0.1445677501695667,0.8509051059967705,652
37,M,36-45,C,55,38.35006313281289,4.756001867944873,0.8646542545081077,0.06411827517289373,0,521.3680117139871,0.37279262901527077,0.524669975743171,576
38,M,26-35,A,63,31.410590589253218,4.858833761894149,0.995,0.05092635349578095,0,604.7257244939062,0.13271972613904245,0.8521821395496978,620
39,M,18-25,C,50,41.82944176109516,4.877034947645052,0.9208260891309216,0.1023466835984309,0,295.1620994138233,0.21309694260558254,0.585169081836187,534
40,M,26-35,B,60,42.520934512351246,4.970459400879055,0.9646800425074508,0.0,0,543.8609119478372,0.24611646266845166,0.5201383154845574,627
41,M,26-35,A,75,48.15254520332955,4.577448550254125,0.890883540719032,0.10978732194909671,0,594.8152383227505,0.13042287966046878,0.9132740231661796,608
42,F,26-35,A,64,48.96499924295462,4.976902436817533,0.9418263152623082,0.09964033281342474,0,529.0734322042445,0.19322978661130838,0.8730460733134124,598
43,F,26-35,A,74,42.85861419163241,5.0,0.8735533607569071,0.04415840210415547,0,698.5890610574332,0.13993236385901156,0.6446812561657769,641
44,M,18-25,A,72,52.94908364584832,4.699865497532195,0.9303869919864046,0.05047647184950995,0,565.5364680916732,0.2019216646357352,0.7038683532001828,599
45,F,26-35,A,66,38.25075331864229,4.502126247539024,0.891203840741086,0.08213160854388067,0,520.196842059272,0.188073935284431,0.6987982614742008,611
46,F,26-35,C,47,27.559754301202666,4.537275163039632,0.8683172832543724,0.09243647969522995,0,508.9447742737922,0.16877736077129502,0.4298981505438825,556
